"","uf","ARTIGOS"
"1","Acre",0
"2","Alagoas",0
"3","Amapá",0
"4","Amazônas",0
"5","Bahia",0
"6","Ceará",1
"7","Distrito Federal",0
"8","Espírito Santo",0
"9","Goiás",0
"10","Maranhão",0
"11","Mato Grosso do Sul",0
"12","Mato Grosso",0
"13","Minas Gerais",1
"14","Paraíba",0
"15","Paraná",1
"16","Pará",0
"17","Pernambuco",1
"18","Piauí",0
"19","Rio de Janeiro",0
"20","Rio Grande do Norte",0
"21","Rio Grande do Sul",1
"22","Rondônia",0
"23","Roraima",0
"24","Santa Catarina",10
"25","São Paulo",2
"26","Sergipe",0
"27","Tocantins",0